,movie,genre,age_limit,language,movie_link,showtime,date,cinema,place,rating,cinema_place,latitude,longitude,adult,id,original_title,popularity,video,overview
713,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,841.0,Dune,59.507,False,"In the year 10,191, the world is at war for control of the desert planet Dune—the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters."
714,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,841.0,Dune,59.507,False,"In the year 10,191, the world is at war for control of the desert planet Dune—the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters."
715,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,841.0,Dune,59.507,False,"In the year 10,191, the world is at war for control of the desert planet Dune—the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters."
716,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,841.0,Dune,59.507,False,"In the year 10,191, the world is at war for control of the desert planet Dune—the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters."
717,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,841.0,Dune,59.507,False,"In the year 10,191, the world is at war for control of the desert planet Dune—the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters."
718,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,841.0,Dune,59.507,False,"In the year 10,191, the world is at war for control of the desert planet Dune—the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters."
719,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,841.0,Dune,59.507,False,"In the year 10,191, the world is at war for control of the desert planet Dune—the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters."
720,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,841.0,Dune,59.507,False,"In the year 10,191, the world is at war for control of the desert planet Dune—the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters."
721,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,841.0,Dune,59.507,False,"In the year 10,191, the world is at war for control of the desert planet Dune—the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters."
722,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,841.0,Dune,59.507,False,"In the year 10,191, the world is at war for control of the desert planet Dune—the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters."
723,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,841.0,Dune,59.507,False,"In the year 10,191, the world is at war for control of the desert planet Dune—the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters."
724,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,841.0,Dune,59.507,False,"In the year 10,191, the world is at war for control of the desert planet Dune—the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters."
725,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,841.0,Dune,59.507,False,"In the year 10,191, the world is at war for control of the desert planet Dune—the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters."
726,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,841.0,Dune,59.507,False,"In the year 10,191, the world is at war for control of the desert planet Dune—the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters."
727,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,841.0,Dune,59.507,False,"In the year 10,191, the world is at war for control of the desert planet Dune—the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters."
728,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
729,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
730,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
731,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
732,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
733,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
734,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
735,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
736,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
737,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
738,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
739,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
740,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
