,movie,genre,cinema,place,movie_link,showtime,age_limit,language,rating
0,Schachnovelle,Drama,Arthouse Le Paris,Zürich,https://www.cineman.ch/en/movie/2021/Schachnovelle/,12:15,12Y.,G,not available
1,Nomadland,Drama,Arthouse Piccadilly,Zürich,https://www.cineman.ch/en/movie/2020/Nomadland/,13:00,12/6Y.,E/gf,3.9
2,Bigfoot Superstar,Animation,Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2019/BigfootSuperstar/,13:20,Reservation,G,1.6
3,Bigfoot Superstar,Animation,Kosmos,Zürich,https://www.cineman.ch/en/movie/2019/BigfootSuperstar/,13:30,Reservation,G,1.6
4,The Croods 2,"Adventure, Animation, Children, Comedy, Fantasy",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2017/TheCroods2/,13:20,6Y.,G,3.9
5,Heitere Fahne,Documentary,Riffraff,Zürich,https://www.cineman.ch/en/movie/2021/HeitereFahne/,13:20,CH/e,CH/e,not available
6,"Hilfe, ich habe meine Freunde geschrumpft",Children,Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2020/HilfeIchHabeMeineFreundeGeschrumpft/,13:20,Reservation,G,5.0
7,"Hilfe, ich habe meine Freunde geschrumpft",Children,Kosmos,Zürich,https://www.cineman.ch/en/movie/2020/HilfeIchHabeMeineFreundeGeschrumpft/,13:50,Reservation,G,5.0
8,Necista krv-greh predaka,Drama,Riffraff,Zürich,https://www.cineman.ch/en/movie/2021/NecistaKrvGrehPredaka/,13:20,16Y.,O/g,not available
9,Vic the Viking and the Magic Sword,Animation,Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2019/VicTheVikingAndTheMagicSword/,13:20,Reservation,G,2.0
10,Vic the Viking and the Magic Sword,Animation,Kosmos,Zürich,https://www.cineman.ch/en/movie/2019/VicTheVikingAndTheMagicSword/,13:30,Reservation,G,2.0
11,Dune,"Action, Adventure, Drama, Sci-fi",Kosmos,Zürich,https://www.cineman.ch/en/movie/2020/Dune/,13:30,14/12Y.,E/gf,4.3
12,Dune,"Action, Adventure, Drama, Sci-fi",Houdini,Zürich,https://www.cineman.ch/en/movie/2020/Dune/,13:50,14/12Y.,E/gf,4.3
13,Bonjour le monde !,"Animation, Children",Houdini,Zürich,https://www.cineman.ch/en/movie/2019/BonjourLeMonde/,13:30,6/0Y.,G,not available
14,Ostwind 5 - Der grosse Orkan,Children,Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2020/Ostwind5DerGrosseOrkan/,13:30,6Y.,G,3.9
15,Peter Rabbit 2: The Runaway,"Animation, Children",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2020/PeterRabbit2/,13:30,10/6Y.,G,3.3
16,Peter Rabbit 2: The Runaway,"Animation, Children",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2020/PeterRabbit2/,13:35,10/6Y.,E/gf,3.3
17,Spirit Untamed,"Adventure, Animation, Children",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2021/SpiritUntamed/,13:30,6/3Y.,G,3.0
18,Immer Ärger mit Grandpa,"Children, Comedy, Drama",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2019/TheWarWithGrandpa/,13:40,8Y.,G,3.0
19,Paw Patrol: The Movie,"Animation, Children",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2021/PAWPatrol/,13:40,6Y.,G,3.9
20,Riders of Justice - Helden der Wahrscheinlichkeit,,Riffraff,Zürich,https://www.cineman.ch/en/movie/2020/RidersofJustice/,13:40,16Y.,O/gf,3.3
21,Tom & Jerry,"Adventure, Animation, Children, Comedy",Kosmos,Zürich,https://www.cineman.ch/en/movie/2021/TomJerry/,13:40,8/6Y.,G,2.6
22,Tom & Jerry,"Adventure, Animation, Children, Comedy",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2021/TomJerry/,13:50,8/6Y.,G,2.6
23,Yakari - Grosse Stürme mit kleiner Donner,Animation,Houdini,Zürich,https://www.cineman.ch/en/movie/2020/Yakari/,13:40,6/0Y.,G,3.7
24,Die Pazifistin - Gertrud Woker: Eine vergessene Heldin,Documentary,Arthouse Alba,Zürich,https://www.cineman.ch/en/movie/2021/DiePazifistinGertrudWoker/,13:45,12Y.,G,5.0
25,"Chien pourri, la vie à Paris",Animation,Houdini,Zürich,https://www.cineman.ch/en/movie/2020/ChienPourriLaVieAParis/,13:50,6/0Y.,G,not available
26,The Brain,Documentary,Arthouse Movie,Zürich,https://www.cineman.ch/en/movie/2020/TheBrain/,13:50,14/10Y.,O/g,2.8
27,Jungle Cruise,"Action, Adventure",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2019/JungleCruise/,14:00,14/12Y.,G,3.0
28,Jungle Cruise,"Action, Adventure",blue Cinema Corso,Zürich,https://www.cineman.ch/en/movie/2019/JungleCruise/,14:30,14/12Y.,E/gf,3.0
29,Ostwind 5 - Der grosse Orkan,Children,blue Cinema Capitol,Zürich,https://www.cineman.ch/en/movie/2020/Ostwind5DerGrosseOrkan/,14:00,6Y.,G,3.9
30,Paw Patrol: The Movie,"Animation, Children",blue Cinema Abaton,Zürich,https://www.cineman.ch/en/movie/2021/PAWPatrol/,14:00,6Y.,G,3.9
31,Paw Patrol: The Movie,"Animation, Children",blue Cinema Abaton,Zürich,https://www.cineman.ch/en/movie/2021/PAWPatrol/,14:30,6Y.,G,3.9
32,Paw Patrol: The Movie,"Animation, Children",blue Cinema Capitol,Zürich,https://www.cineman.ch/en/movie/2021/PAWPatrol/,14:00,6Y.,G,3.9
33,Paw Patrol: The Movie,"Animation, Children",blue Cinema Corso,Zürich,https://www.cineman.ch/en/movie/2021/PAWPatrol/,14:15,6Y.,G,3.9
