,adult,id,original_title,popularity,video,tagline,overview,genres_string
10,False,698583,Chi ha incastrato Babbo Natale?,8.419,False,,,Comedy
11,False,568124,Encanto,2116.967,False,There's a little magic in all of us ...almost all of us.,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift from super strength to the power to heal—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",Animation Comedy Family Fantasy
12,False,12697,Lauras Stern,4.914,False,,"Laura sees a shooting star falling to earth and finds it in a park, down on the floor and with a broken point. The star is a living being, and Laura takes her home to reattach its point with a band-aid. The little star has special powers and can make people fly, or bring inanimate objects to life. But the more she stays on Earth, the weaker she becomes and her colors fade away and her powers start to fail. Laura must find a way to send the little star back into outer space.",Animation Family
13,False,639721,The Addams Family 2,476.82,False,,The Addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters.,Animation Adventure Comedy Family
14,False,498402,Aline,11.558,False,A fiction freely inspired by the life of Céline Dion.,"For Aline Dieu, nothing in the world matters more than music, family and love. Her powerful and emotional voice captivates everyone who hears it, including successful manager Guy-Claude Kamar, who resolves to do everything in his power to make her a star. As Aline climbs from local phenomenon to bestselling recording artist to international superstar, she embarks on the two great romances of her life: one with the decades-older Guy- Claude and the other with her adoring audiences.",Drama Comedy Music
15,False,425909,Ghostbusters: Afterlife,376.11,False,Uncover the past. Protect the future.,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",Comedy Fantasy Adventure Science Fiction
16,False,579877,Fräulein Huser,0.6,False,,,
17,False,642546,The Last Bus,12.336,False,"Returning to the past, he found his future.","Widower Tom, on the recent passing of his wife Mary, uses his free bus pass to travel the length of Britain from John O'Groats in Scotland to Land's End in Cornwall, their shared birthplace, using only local buses. It's an incident-fuelled nostalgia trip and his encounters with local people make him a media phenomenon. Tom is totally unaware and to his surprise on arrival at Land’s End he’s greeted as a celebrity.",Drama
18,False,581734,Nomadland,27.377,False,See you down the road.,"A woman in her sixties embarks on a journey through the western United States after losing everything in the Great Recession, living as a van-dwelling modern-day nomad.",Drama
19,False,653762,The Truffle Hunters,4.188,False,,"In the secret forests of Northern Italy, a dwindling group of joyful old men and their faithful dogs search for the world’s most expensive ingredient, the white Alba truffle. Their stories form a real-life fairy tale that celebrates human passion in a fragile land that seems forgotten in time.",Documentary
20,False,776544,Luzzu,1.542,False,,"Jesmark, a struggling fisherman on the island of Malta, is forced to turn his back on generations of tradition and risk everything by entering the world of black market fishing to provide for his girlfriend and newborn baby.",Drama
21,False,658287,Io sono Babbo Natale,5.453,False,,"Ettore has spent the last five years in jail for a robbery. Once out of prison, he has nowhere to go, his wife broke up with him and doesn’t want him to meet their little daughter who was born right before he was arrested. Alone and desperate, Ettore roams the streets of Rome and meets a strange old man, Nicola. He decides to take advantage of him and rob him. But after breaking into his house, Ettore realizes Nicola doesn’t have anything worth to be stolen and furthermore, the old man tells him a rather stranger thing: he affirms to be Santa Claus…",Comedy
22,False,370172,No Time to Die,1284.626,False,The mission that changes everything begins…,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",Adventure Action Thriller
23,False,835433,Bekenntnisse des Hochstaplers Felix Krull,1.9,False,,,Drama Comedy
24,False,542178,The French Dispatch,613.545,False,,"The quirky staff of an American magazine based in 1970s France puts out its last issue, with stories featuring an artist sentenced to life imprisonment, student riots, and a kidnapping resolved by a chef.",Drama Comedy Romance
25,False,846980,Harald Naegeli - Der Sprayer von Zürich,2.155,False,,"The Swiss artist Harald Naegeli became known around the world as the “Sprayer of Zurich” in the late 1970s. With his graffiti he criticized the monotonous, inhospitable cityscape of Zurich, but also the politics and the handling of the environment.  In her sensitive portrait, director Nathalie David shows Harald Naegeli's multifaceted personality - as a visionary, argumentative artist, rebel, philosopher and astute, humorous person.",Documentary
26,False,438631,Dune,931.676,False,"Beyond fear, destiny awaits.","Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",Science Fiction Adventure
27,False,511809,West Side Story,62.667,False,,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",Romance Drama Crime
28,False,603,The Matrix,361.346,False,Welcome to the Real World.,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",Action Science Fiction
29,False,846964,Und morgen seid ihr tot,0.772,False,,In 2011 the young married Swiss couple Daniela Widmer and David Och got kidnapped while being on a long trip along the old Silk Road in Pakistan. They were hand over to the Taliban and were held as hostages for 8 months under the most precarious conditions.,Drama Thriller
30,False,314402,Dheepan,6.856,False,When the war continues to rage in your heart and mind,"Three people who have lost everything, a soldier tired of fighting, a young woman and a little girl, pose as a family to escape the civil war in Sri Lanka. They emigrate to France and settle in a chaotic neighborhood on the outskirts of Paris, where apparently the law no longer exists; but they, who barely know each other, struggle to survive there, even when the ghosts of war begin to haunt them again.",Crime Drama
31,False,578,Jaws,41.775,False,Don't go in the water,"When an insatiable great white shark terrorizes the townspeople of Amity Island, the police chief, an oceanographer and a grizzled shark hunter seek to destroy the blood-thirsty beast.",Horror Thriller Adventure
32,False,712178,Gagarine,4.402,False,,"Yuri, 16, has lived all his life in Gagarin Towers, a vast red-brick housing project on the outskirts of Paris. He dreams of becoming an astronaut. When plans to demolish Gagarin Towers leak out, Yuri joins the resistance.  With his friends Diana and Houssam, he embarks on a mission to save their home, which has become his “starship.”",Drama
33,False,804868,The Quest for Tonewood,5.567,False,,Violin maker Gaspar wants to make a violin out of a special kind of tree that Antonio Stradivari used 300 years ago. A tree so rare that it may or may not exist anymore.,Documentary
34,False,714011,After Love,7.288,False,,"Set in the port town of Dover in the South-East of England, Mary Hussain suddenly finds herself a widow following the unexpected death of her husband. A day after the burial, she discovers he has a secret just twenty-one miles across the English Channel in Calais.",Drama
35,False,574060,Gunpowder Milkshake,335.565,False,Revenge is best served ice cold.,"In her turbulent life as a professional assassin, Sam has no choice but to go rogue to save the life of an innocent 8-year-old girl in the middle of the gang war she has unleashed.",Action Thriller Crime
36,False,745611,Délicieux,6.805,False,,"France, 18th Century. The prestige of a noble house depends above all on the quality of its table. At the dawn of the French Revolution, gastronomy still is a prerogative of the aristocrats. When talented cooker Manceron is dismissed by the Duke of Chamfort, he loses the taste for cooking. Back in his country house, his meeting with the mysterious Louise gets him back on his feet. While they both feed a desire of revenge against the Duke, they decide to create the very first restaurant in France.",Comedy History
37,False,646380,Don't Look Up,93.05,False,Based on truly possible events.,Two astronomers go on a media tour to warn humankind of a planet-killing comet hurtling toward Earth. The response from a distracted world: Meh.,Drama Comedy Science Fiction
38,False,839287,Mollo tutto e apro un chiringuito,3.823,False,,"Mr. Imbruttito, a leading executive of a large multinational, lives the routine in his hectic Milan. Breaking this balance is Brusini, an eccentric entrepreneur at the head of an economic empire, who for an absurd reason blows up what for the Brutito is the business of life. For the first time, the Ugly one feels the pinch, falls into depression, can no longer find a reason to wake up in the morning. The turning point comes from Brera, a longtime friend, who proposes to the Bruttito the purchase of a Chiringuito in Sardinia, to do business in flip-flops and finally be able to say: ""I quit everything and open a chiringuito!""",Comedy
39,False,600583,The Power of the Dog,165.755,False,What it means to be a man.,"A domineering but charismatic rancher wages a war  of intimidation on his brother's new wife and her teen son, until long-hidden secrets come to light.",Drama Western
40,False,664698,Contra,2.741,False,,"With his uncouth manner, Professor Pohl doesn’t enjoy the best reputation at the university where he works. To make matters worse, he makes a racist remark when student Naima arrives late for his lecture. Unfortunately for him, a video of his verbal outburst spreads like wildfire on the Internet, and the university’s president, Lambrecht, is called to deal with the incident. But Pohl is not dismissed. Instead, he is put to the task of helping Naima prepare for an important debating competition. The lecturer and the student could not be more different, yet they are thrown together to work as a team.",
41,False,610253,Halloween Kills,387.373,False,Evil dies tonight.,"Minutes after Laurie Strode, her daughter Karen and granddaughter Allyson left masked monster Michael Myers caged and burning in Laurie's basement, Laurie is rushed to the hospital with life-threatening injuries, believing she finally killed her lifelong tormentor. But when Michael manages to free himself from Laurie's trap, his ritual bloodbath resumes. As Laurie fights her pain and prepares to defend herself against him, she inspires all of Haddonfield to rise up against their unstoppable monster. The Strode women join a group of other survivors of Michael's first rampage who decide to take matters into their own hands, forming a vigilante mob that sets out to hunt Michael down, once and for all.",Horror Thriller
42,False,580489,Venom: Let There Be Carnage,7992.617,False,,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",Science Fiction Action Adventure
43,False,460458,Resident Evil: Welcome to Raccoon City,660.568,False,Witness the beginning of evil.,"Once the booming home of pharmaceutical giant Umbrella Corporation, Raccoon City is now a dying Midwestern town. The company’s exodus left the city a wasteland…with great evil brewing below the surface. When that evil is unleashed, the townspeople are forever…changed…and a small group of survivors must work together to uncover the truth behind Umbrella and make it through the night.",Horror Action Science Fiction
