,movie,genre,age_limit,language,showtime,date,cinema,place,cinema_place,latitude,longitude
183,No Time to Die,"Action, Adventure, Thriller",14Y.,G,20:30,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
184,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,20:50,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
185,No Time to Die,"Action, Adventure, Thriller",14Y.,G,20:55,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
186,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,20:10,2021-10-23,Houdini,Zürich,Houdini Zürich,47.3746074,8.5203069
187,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,20:30,2021-10-23,Houdini,Zürich,Houdini Zürich,47.3746074,8.5203069
188,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,20:10,2021-10-23,Kosmos,Zürich,Kosmos Zürich,47.3799807,8.5290807
189,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,20:15,2021-10-23,blue Cinema Corso,Zürich,blue Cinema Corso Zürich,47.3663426,8.546733999999999
190,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,20:15,2021-10-23,blue Cinema Metropol,Zürich,blue Cinema Metropol Zürich,47.3737637,8.530738099999999
191,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,20:30,2021-10-23,blue Cinema Capitol,Zürich,blue Cinema Capitol Zürich,47.3778376,8.5441343
192,The Ice Road,"Action, Adventure, Drama, Thriller",16Y.,G,20:00,2021-10-23,Stüssihof,Zürich,Stüssihof Zürich,47.3723239,8.5437701
193,The Boss Baby: Family Business,"Adventure, Animation, Children, Comedy, Fantasy",6Y.,G,20:15,2021-10-23,blue Cinema Abaton,Zürich,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
194,Venom: Let There Be Carnage,"Action, Sci-fi",14Y.,E/gf,20:15,2021-10-23,blue Cinema Abaton,Zürich,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
195,Venom: Let There Be Carnage,"Action, Sci-fi",14Y.,G,20:45,2021-10-23,blue Cinema Abaton,Zürich,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
196,Venom: Let There Be Carnage,"Action, Sci-fi",14Y.,E/gf,20:30,2021-10-23,blue Cinema Corso,Zürich,blue Cinema Corso Zürich,47.3663426,8.546733999999999
197,Venom: Let There Be Carnage,"Action, Sci-fi",14Y.,E/gf,20:45,2021-10-23,blue Cinema Metropol,Zürich,blue Cinema Metropol Zürich,47.3737637,8.530738099999999
198,Nachbarn,Drama,12Y.,O/gf,20:20,2021-10-23,Arthouse Movie,Zürich,Arthouse Movie Zürich,47.3707036,8.5437007
199,Supernova,Drama,14Y.,E/gf,20:25,2021-10-23,Arthouse Piccadilly,Zürich,Arthouse Piccadilly Zürich,47.365993,8.5489046
200,Supernova,Drama,14Y.,E/gf,20:50,2021-10-23,Kosmos,Zürich,Kosmos Zürich,47.3799807,8.5290807
201,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",12Y.,E/gf,20:30,2021-10-23,blue Cinema Capitol,Zürich,blue Cinema Capitol Zürich,47.3778376,8.5441343
202,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",12Y.,G,20:50,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
