,movie,genre,age_limit,language,showtime,date,cinema,place,dt_showtime,cinema_place,latitude,longitude
202,Spider-Man: No Way Home,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,E/gf,20:30,2021-12-23,blue Cinema Abaton,Zürich,2021-12-23 20:30:00,blue Cinema Abaton Zürich,47.3892435,8.5213589
203,Spider-Man: No Way Home,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,G,20:00,2021-12-23,Arena Cinemas,Zürich,2021-12-23 20:00:00,Arena Cinemas Zürich,47.3584227,8.5226872
204,Spider-Man: No Way Home,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,G,20:15,2021-12-23,Arena Cinemas,Zürich,2021-12-23 20:15:00,Arena Cinemas Zürich,47.3584227,8.5226872
205,Spider-Man: No Way Home,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,E/gf,20:30,2021-12-23,Arena Cinemas,Zürich,2021-12-23 20:30:00,Arena Cinemas Zürich,47.3584227,8.5226872
206,Spider-Man: No Way Home,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,G,20:45,2021-12-23,Arena Cinemas,Zürich,2021-12-23 20:45:00,Arena Cinemas Zürich,47.3584227,8.5226872
207,Spider-Man: No Way Home,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,E/gf,20:45,2021-12-23,Arena Cinemas,Zürich,2021-12-23 20:45:00,Arena Cinemas Zürich,47.3584227,8.5226872
208,Spider-Man: No Way Home,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,E/gf,20:30,2021-12-23,blue Cinema Corso,Zürich,2021-12-23 20:30:00,blue Cinema Corso Zürich,47.3663426,8.546734
209,Spider-Man: No Way Home,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,E/gf,20:30,2021-12-23,blue Cinema Metropol,Zürich,2021-12-23 20:30:00,blue Cinema Metropol Zürich,47.3737637,8.5307381
210,83,Drama,12/0Y.,O/e,20:10,2021-12-23,Riffraff,Zürich,2021-12-23 20:10:00,Riffraff Zürich,47.3827835,8.5290454
211,Délicieux,"Comedy, History",12/8Y.,F/g,20:10,2021-12-23,Arthouse Movie,Zürich,2021-12-23 20:10:00,Arthouse Movie Zürich,47.3707036,8.5437007
212,Aline,"Comedy, Drama, Music",10/8Y.,F/g,20:15,2021-12-23,blue Cinema Abaton,Zürich,2021-12-23 20:15:00,blue Cinema Abaton Zürich,47.3892435,8.5213589
213,Aline,"Comedy, Drama, Music",10/8Y.,G,20:30,2021-12-23,blue Cinema Abaton,Zürich,2021-12-23 20:30:00,blue Cinema Abaton Zürich,47.3892435,8.5213589
214,Aline,"Comedy, Drama, Music",10/8Y.,F/g,20:15,2021-12-23,blue Cinema Capitol,Zürich,2021-12-23 20:15:00,blue Cinema Capitol Zürich,47.3778376,8.5441343
215,Aline,"Comedy, Drama, Music",10/8Y.,F/g,20:40,2021-12-23,Kosmos,Zürich,2021-12-23 20:40:00,Kosmos Zürich,47.3799807,8.5290807
216,Aline,"Comedy, Drama, Music",10/8Y.,F/g,20:50,2021-12-23,Arthouse Piccadilly,Zürich,2021-12-23 20:50:00,Arthouse Piccadilly Zürich,47.365993,8.5489046
